isolation_forest,isolation_forest_mean,isolation_forest_std,one_class_svm,one_class_svm_mean,one_class_svm_std,local_outlier_factor,local_outlier_factor_mean,local_outlier_factor_std,gaussian_mixture,gaussian_mixture_mean,gaussian_mixture_std,machine_type,machine_id
0.8653635633833653,0.878015837797333,0.014419043930536972,0.8655095239253655,0.8740683421291138,0.012124163671851264,0.8122947429878122,0.8131185991718596,0.009395532126875987,0.8944340379983945,0.8852868298412853,0.009580635491367657,fan,id_00
0.703198540005763,0.7549702332186358,0.026174687639479256,0.7549844258133567,0.7823620082938565,0.02135721029859427,0.7650973558187082,0.7796217747496654,0.015444121423924042,0.6901903206773057,0.7302866070066486,0.02449707357196985,fan,id_02
0.7927980454217336,0.7997650042292769,0.012496630260292926,0.8473263368315841,0.8352183670839878,0.008069615021420057,0.7438502970736853,0.7581679022948073,0.01593508054865959,0.7724193458826143,0.7757232090535098,0.01489871521897821,fan,id_04
0.9965203389599225,0.9960986859162425,0.0010738625641082999,0.990065908873818,0.9903702086432051,0.0014097934124421762,0.9593357258845844,0.9424832498669542,0.018236031691066235,0.9990993818484506,0.9989601954068474,0.0008810704266574693,fan,id_06
0.7996381727725012,0.795318326321725,0.017351699810869526,0.8332811467139826,0.8339858555315922,0.005595424892068618,0.8313328462582195,0.8267367724143252,0.005653504959852347,0.7984900671467836,0.7998196375320656,0.013719445319085895,pump,id_00
0.6016314822284972,0.5977410246066962,0.009307115479031016,0.5452243288064182,0.5777329568374345,0.01866493030159582,0.4980951100354085,0.5406615570794676,0.02729851963278524,0.5409439290036305,0.541786562682085,0.016270468068387153,pump,id_02
0.6230714285714285,0.6231249240121581,0.021239741264831892,0.7453214285714286,0.7581540526849039,0.02535453151618412,0.64275,0.6566090172239109,0.01673656704219844,0.5978571428571428,0.612836676798379,0.03027131469588768,pump,id_04
0.8372643743487733,0.8589077334761479,0.02823467576170434,0.9612816140949134,0.9661589831027172,0.0033325229050884812,0.9649521644406556,0.9574032176973354,0.004824415463745332,0.7540968078052477,0.768894954860428,0.01896650533460074,pump,id_06
0.8680956631313661,0.8703035004454251,0.02108672963896915,0.8830069305891,0.8840773560823092,0.019004505456546625,0.7860705659981099,0.7865161575705766,0.01230717429169302,0.914417725506668,0.8951900735506181,0.013502696507448793,slider,id_00
0.6246630963631908,0.630730886773263,0.01962816620264449,0.8486208827750358,0.8596532536251498,0.012840658032700349,0.7094840561447723,0.7138450078115796,0.006176358183072572,0.7443382687528441,0.7358774251679938,0.018556457130566167,slider,id_02
0.5998634883965137,0.5916221699599183,0.004683525541436181,0.6405544471280059,0.6402545772994477,0.011879382889232395,0.6964191956316286,0.6851381659893921,0.010827872314004023,0.5899926493751968,0.5766236262157756,0.014369080129059558,slider,id_04
0.5260947180510344,0.5023666634305426,0.04343833309801205,0.9111624488081489,0.9013237068547053,0.01145624839827022,0.9258636984143652,0.925660020724403,0.016765597553921416,0.34358920508243196,0.3280092487106687,0.02972054573768073,slider,id_06
0.42594007299889647,0.4423906306850439,0.011137958634831134,0.41815210932857994,0.45040485510482553,0.031901465046002685,0.48968678380443087,0.5075686982574361,0.017180047900400185,0.43604108309990663,0.43447506610379794,0.012733774687344044,valve,id_00
0.729049295774648,0.7576491692471615,0.03285177869434232,0.6345950704225352,0.6272425332134652,0.012293887231653085,0.5525821596244131,0.5698414244331236,0.019791867809277726,0.7910211267605634,0.805172143974961,0.03464471921540708,valve,id_02
0.6727083333333335,0.6765333333333334,0.011972201598332321,0.7014583333333333,0.7080916666666667,0.00955835149664068,0.6052500000000001,0.6066541666666667,0.01998879720965943,0.6947083333333333,0.685125,0.009687370070813262,valve,id_04
0.5268939393939395,0.49825233067695374,0.019931784297629224,0.5141414141414141,0.46883939901527844,0.02374551558162465,0.5246632996632996,0.5074978215995805,0.02121058062938091,0.5284090909090909,0.5040257262744701,0.017879743620082635,valve,id_06
