isolation_forest,one_class_svm,local_outlier_factor,gaussian_mixture,machine_type,machine_id
0.8386527841973386,0.7323995913104824,0.7766438806042766,0.8334103680638334,fan,id_00
0.9667384771601465,0.8467692138809229,0.9609478985139345,0.945167885615489,fan,id_02
0.6564495530012773,0.7697678938308623,0.9170970070520295,0.6080154367260814,fan,id_04
0.9834613757624552,0.9359605911330049,0.9938048387757051,0.9912530873463149,fan,id_06
0.8380823156942561,0.5014786208816059,0.6142713008384649,0.8314720105764881,pump,id_00
0.8750840392631437,0.47434001165344447,0.4972883331092286,0.7693962619335755,pump,id_02
0.9415,0.5678571428571428,0.9604999999999999,0.9867142857142858,pump,id_04
0.8424741877427299,0.511840484986265,0.8309178743961354,0.8408638817845978,pump,id_06
0.8740811718996115,0.6705607476635513,0.7868450068255803,0.9278194896566209,slider,id_00
0.6659841086492352,0.5584112149532711,0.8963386887885471,0.5154538135741538,slider,id_02
0.919458153943085,0.6635514018691588,0.989341594035493,0.9582589520109209,slider,id_04
0.7709755329202981,0.5093457943925234,0.9920193216423395,0.8415415310301377,slider,id_06
0.9361684067566421,0.6035353535353536,0.9901111959935489,0.9412613530260588,valve,id_00
0.8197769953051642,0.5704225352112676,0.824706572769953,0.8283450704225352,valve,id_02
0.8176666666666667,0.6192708333333333,0.916875,0.7811666666666666,valve,id_04
0.5852272727272727,0.5340277777777778,0.8011784511784512,0.567550505050505,valve,id_06
