isolation_forest,isolation_forest_mean,isolation_forest_std,one_class_svm,one_class_svm_mean,one_class_svm_std,local_outlier_factor,local_outlier_factor_mean,local_outlier_factor_std,gaussian_mixture,gaussian_mixture_mean,gaussian_mixture_std,machine_type,machine_id
0.8386527841973386,0.8553866210745692,0.014651247811404288,0.7323995913104824,0.687203412792351,0.023906537260483886,0.7766438806042766,0.7678923477489541,0.013826316671783547,0.8334103680638334,0.8544945481101166,0.019054565460042854,fan,id_00
0.9667384771601465,0.9514753572161745,0.009686921135445788,0.8467692138809229,0.8496997358159477,0.01063692397830663,0.9609478985139345,0.959912915315007,0.006405143679712541,0.945167885615489,0.9419848834740889,0.008600599302909533,fan,id_02
0.6564495530012773,0.6551176003152684,0.016278689239078478,0.7697678938308623,0.7598659408159998,0.01607765213020305,0.9170970070520295,0.9074985835022078,0.016225712200888986,0.6080154367260814,0.6057705235839469,0.009331490562234637,fan,id_04
0.9834613757624552,0.98033650369117,0.0011860643326888738,0.9359605911330049,0.92807881773399,0.0119044787917188,0.9938048387757051,0.983870747649523,0.005954868805574995,0.9912530873463149,0.9881227569832021,0.005207290503606813,fan,id_06
0.8380823156942561,0.8185528082084902,0.048219958769942735,0.5014786208816059,0.5033718412024899,0.0024257866713382884,0.6142713008384649,0.584976936269976,0.022091277534584043,0.8314720105764881,0.8339403171086339,0.014822017392172709,pump,id_00
0.8750840392631437,0.8817533951862311,0.0269711162089438,0.47434001165344447,0.47319259558065524,0.0033951499894592503,0.4972883331092286,0.48906817265026226,0.026683974336026775,0.7693962619335755,0.7772040697413832,0.01559741418998048,pump,id_02
0.9415,0.9250784194528874,0.029525299211961214,0.5678571428571428,0.5605623100303951,0.008857081199745414,0.9604999999999999,0.954147112462006,0.006559788197989435,0.9867142857142858,0.9855505572441743,0.008449003170998814,pump,id_04
0.8424741877427299,0.8360218065301186,0.026201300587655678,0.511840484986265,0.5161841213631494,0.007469169178045083,0.8309178743961354,0.7878170972959976,0.022339744347376043,0.8408638817845978,0.844907544028388,0.011030679662093066,pump,id_06
0.8740811718996115,0.8712853462262602,0.0244920435916318,0.6705607476635513,0.6432670791101751,0.025097349530386923,0.7868450068255803,0.8186782161695012,0.02061821585441767,0.9278194896566209,0.9306251999729837,0.007142464467290122,slider,id_00
0.6659841086492352,0.6685288413834425,0.03630130265194711,0.5584112149532711,0.5491685314378483,0.00997640274099411,0.8963386887885471,0.8772149036423965,0.020348133944986392,0.5154538135741538,0.49317506072523204,0.02091698418988314,slider,id_02
0.919458153943085,0.8906113104519544,0.028633339956409046,0.6635514018691588,0.6629165931934403,0.014230349107520504,0.989341594035493,0.9940783881724287,0.004859721255083397,0.9582589520109209,0.9646908477786649,0.00716933266297721,slider,id_04
0.7709755329202981,0.8308631139307219,0.03862066080856715,0.5093457943925234,0.5131017457238582,0.008031430125198786,0.9920193216423395,0.9881189335055744,0.00449785349521437,0.8415415310301377,0.8663188823880217,0.022001652743506312,slider,id_06
0.9361684067566421,0.926289669210154,0.01584045385689352,0.6035353535353536,0.6155550479671084,0.01648833197140673,0.9901111959935489,0.9849346042665582,0.006275789410448717,0.9412613530260588,0.9294261392694736,0.01176547091154402,valve,id_00
0.8197769953051642,0.7905153497819064,0.028256503270489144,0.5704225352112676,0.5649685346119269,0.01009884428798907,0.824706572769953,0.8282853444544335,0.02651868803343687,0.8283450704225352,0.8142719675024142,0.01750241761512435,valve,id_02
0.8176666666666667,0.7731666666666667,0.0230865671621689,0.6192708333333333,0.6254708333333333,0.012600172232067974,0.916875,0.9074666666666668,0.008563423510619008,0.7811666666666666,0.7809,0.012985638434653723,valve,id_04
0.5852272727272727,0.6117707222983605,0.0446511099326711,0.5340277777777778,0.5327030988274707,0.005108918529949641,0.8011784511784512,0.788903439757711,0.015268652928697168,0.567550505050505,0.5580929479045057,0.015295927919609634,valve,id_06
