no_cross_validate.name,no_cross_validate.accuracy,no_cross_validate.precision_score,no_cross_validate.recall_score,no_cross_validate.f1_score,mean.accuracy,mean.precision_score,mean.recall_score,mean.f1_score,std.accuracy,std.precision_score,std.recall_score,std.f1_score,machine_type,machine_id
SVM-no-cross-validate,0.8133802816901409,1.0,0.35365853658536583,0.5225225225225225,0.8068925188101828,0.9433048433048434,0.3476923076923077,0.5063029393710202,0.015447415049900869,0.056868837323846205,0.04625629654883972,0.05433518712811246,fan,id_00
SVM-no-cross-validate,0.9236363636363636,0.9636363636363636,0.7361111111111112,0.8346456692913387,0.9227272727272728,0.9464201619951955,0.7457955232909861,0.8334589773179694,0.017007533576245196,0.022566680470720555,0.0541750984469059,0.03949972736959573,fan,id_02
SVM-no-cross-validate,0.9711191335740073,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9746400658165365,0.9498200075786283,0.9495454545454545,0.9494607635532377,0.012337789341114182,0.02334623084871194,0.03307012232191221,0.02473781769123234,fan,id_04
SVM-no-cross-validate,0.8731884057971014,0.9111111111111111,0.5694444444444444,0.7008547008547008,0.8718181818181818,0.8732935407354011,0.6020568663036903,0.7116808045427441,0.02270908363053965,0.07670171709377835,0.045046056140291155,0.05011423909168497,fan,id_06
SVM-no-cross-validate,0.9565217391304348,0.9523809523809523,0.6896551724137931,0.7999999999999999,0.9728023283440246,0.9694736842105263,0.8075098814229248,0.8779289661786602,0.010857783388601116,0.0249431486548901,0.08874904158536719,0.05455279821820932,pump,id_00
SVM-no-cross-validate,0.9464285714285714,1.0,0.45454545454545453,0.625,0.9495762977841944,0.9583333333333333,0.5183006535947712,0.6655702917771883,0.012177056071450818,0.052704627669472995,0.1151069279098108,0.09790154482697426,pump,id_02
SVM-no-cross-validate,0.9503105590062112,1.0,0.6,0.7499999999999999,0.9610222868217054,1.0,0.6875,0.812199233716475,0.009748611031436476,0.0,0.07905694150420949,0.055922383947133364,pump,id_04
SVM-no-cross-validate,0.9868421052631579,0.9473684210526315,0.9,0.9230769230769231,0.9934065934065934,0.9764705882352942,0.9514705882352942,0.9632453567937439,0.0053834939401828305,0.04705882352941178,0.02432034618903122,0.029621187826422174,pump,id_06
SVM-no-cross-validate,0.9824561403508771,0.9583333333333334,0.971830985915493,0.965034965034965,0.9806824329546334,0.9496045263892183,0.9754385964912281,0.9621167744301223,0.010604029619505448,0.03065178372952896,0.01789129653892206,0.02065921889807745,slider,id_00
SVM-no-cross-validate,0.9850187265917603,0.9622641509433962,0.9622641509433962,0.9622641509433962,0.9531744987056294,0.8990767774942476,0.864784053156146,0.8806478405315614,0.010318363118865472,0.029982907443871765,0.04697914066262733,0.027044688107809106,slider,id_02
SVM-no-cross-validate,0.9300699300699301,0.825,0.9166666666666666,0.8684210526315789,0.915618692749573,0.8560660756312931,0.7950738916256158,0.8235572591609743,0.029741925568594268,0.06379726944461911,0.07376672530969412,0.06454170900934605,slider,id_04
SVM-no-cross-validate,0.92,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.9056565656565656,0.76,0.5057142857142857,0.5987619047619048,0.024146865535558205,0.125649333870263,0.12342063466545816,0.11693268020823037,slider,id_06
SVM-no-cross-validate,0.9954954954954955,1.0,0.9583333333333334,0.9787234042553191,0.9988764044943821,1.0,0.9894736842105264,0.9945945945945945,0.0022471910112359605,0.0,0.02105263157894739,0.010810810810810789,valve,id_00
SVM-no-cross-validate,0.9759036144578314,1.0,0.8333333333333334,0.9090909090909091,0.9909318751424013,0.9709523809523809,0.9689473684210526,0.9686324786324786,0.005675332537155715,0.03834442312228075,0.04185451653067588,0.019908476391850477,valve,id_02
SVM-no-cross-validate,0.9821428571428571,0.9545454545454546,0.875,0.9130434782608695,0.9787957790192425,0.9882352941176471,0.8126315789473685,0.8906120023767082,0.00546887494784948,0.02352941176470589,0.05300917184005968,0.030811618737410392,valve,id_04
SVM-no-cross-validate,0.8923766816143498,0.5,0.08333333333333333,0.14285714285714285,0.8998984320446899,0.4533333333333333,0.10526315789473684,0.16969696969696968,0.008876089222627058,0.37333333333333335,0.09415023063157009,0.14919434697080208,valve,id_06
