isolation_forest,isolation_forest_mean,isolation_forest_std,one_class_svm,one_class_svm_mean,one_class_svm_std,local_outlier_factor,local_outlier_factor_mean,local_outlier_factor_std,gaussian_mixture,gaussian_mixture_mean,gaussian_mixture_std,machine_type,machine_id
0.5877101223635877,0.5732010572911904,0.017187230746999585,0.5756987860948257,0.6014950949228861,0.02645681355416608,0.6375982192813876,0.6359196131302653,0.014431888959055884,0.5677500182450678,0.556198523593539,0.00906172497469179,fan,id_00
0.9958285878946719,0.9987792081581457,0.0009505942698074561,0.9999039477475747,0.9993607816769969,0.0010280147246283875,0.9995746257392593,0.998521467947471,0.001829775537439557,0.9999451129986141,0.9998601323153409,0.00011692035260779214,fan,id_02
0.7181686934310623,0.7281832923883258,0.031078868384855542,0.7721833527680605,0.7532751962745704,0.020701489306853862,0.7899106002554278,0.7631690761954513,0.016476487917862256,0.6284774279526903,0.6423507636688668,0.0329908744383366,fan,id_04
0.9605092586275126,0.9603809887695645,0.004569763935118493,0.9735682218249799,0.9685929888241475,0.006517144441818323,0.9498041837806859,0.9508385300820109,0.0018707722925764838,0.9997816683268971,0.999208547685002,0.0003784568741115578,fan,id_06
0.8103538252791984,0.7798922372145366,0.014179858420349998,0.6605608322026233,0.5619098649244949,0.049699127260314474,0.5542392930452631,0.5431474490732655,0.009048861171690627,0.645722436767213,0.6328910388168554,0.018678758554866275,pump,id_00
0.6283447626731208,0.6201694231544976,0.012537967302862538,0.6134642104791359,0.6273273273273272,0.024001028070562504,0.8694814217202277,0.8846129711801354,0.012802341952796484,0.6833848774147282,0.6712563309578236,0.012000687714173787,pump,id_02
0.6420714285714285,0.7026315096251265,0.048428881262670975,0.9325,0.9361428571428572,0.017759952619683612,0.9337857142857142,0.9165398176291794,0.009236554688245406,0.6435000000000001,0.6840971631205673,0.030241585160191094,pump,id_04
0.7086293454579901,0.6948878250668532,0.019773903769276048,0.8233873259448707,0.8110430055522766,0.01111076264265072,0.9340011366865587,0.9266522941395063,0.0047629428849054935,0.7185279909065074,0.7156784871139092,0.014357680237145135,pump,id_06
0.910099233434842,0.9259153894278198,0.011986165177210595,0.7404966922188385,0.7180445513925021,0.020923664614238408,0.5972251391368266,0.5994741480842773,0.0150624981965153,0.9313897931324162,0.9271993700450454,0.01199462568296187,slider,id_00
0.8796597710805418,0.861178627413377,0.009314096036880402,0.7665039028317407,0.7633378262034902,0.0165789945542943,0.8827400329027968,0.8674354174564932,0.008790093570795023,0.8776646014911267,0.8844184502161557,0.007971056606798052,slider,id_02
0.8986663866428646,0.9179064984674641,0.01463381598499529,0.5534757954426126,0.5988184514551661,0.02182115318495409,0.6578284154153103,0.6597130284376059,0.013630749061407474,0.8733067310721411,0.87205821457088,0.006792546376392514,slider,id_04
0.5898351359865589,0.5605519110633838,0.030700958201771208,0.5437362175784941,0.5350625793758507,0.02139383068572404,0.6131471175049878,0.6233272375321712,0.02110495678350967,0.5988659036018061,0.6123367656062085,0.012257962264685483,slider,id_06
0.7728121551650965,0.8153544225669558,0.024125404963357393,0.8746286393345217,0.8780645012687579,0.006905550683777801,0.7551778287072405,0.8050731332581762,0.033117071981989175,0.8381716322892793,0.8478047226199754,0.011741119148715033,valve,id_00
0.505575117370892,0.47308535610828095,0.0253151033762625,0.7890551643192489,0.7661537308960144,0.028432163320039686,0.9294014084507043,0.9086144407818066,0.034778858235900816,0.4588028169014084,0.44107947923950325,0.019360844368733657,valve,id_02
0.6994166666666666,0.7014833333333333,0.009139224073556034,0.6592916666666667,0.6541041666666667,0.0040364872310793614,0.7787083333333333,0.7664625,0.008287063211214602,0.7360833333333333,0.7370583333333333,0.013270283217274128,valve,id_04
0.5008417508417509,0.4858364634620916,0.017474620723795888,0.5595117845117845,0.5400459156049607,0.021949858860929553,0.5739478114478115,0.5482957717882341,0.02974040726985904,0.4943181818181818,0.4662740893017275,0.017358953304746447,valve,id_06
